,Competition Title,Competition Date,FIRST,LAST,Nation,StartNr,Rank,Qualification,Semifinal,Final,Category,Quali_Tops,Quali_Zones,Quali_Atempts_Tops,Quali_Attempts_Zones,semi_Tops,semi_Zones,semi_Atempts_Tops,semi_Attempts_Zones,Finals_Tops,Finals_Zones,Final_Atempts_Tops,Final_Attempts_Zones
30,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Marijke,BOOTH,GBR,20.0,31,2T5z26,,,boulder,2,5,2,6,0,0,0,0,0,0,0,0
31,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Evdoxia - Aikaterini,KALLIA,GRE,21.0,32,2T4z25,,,boulder,2,4,2,5,0,0,0,0,0,0,0,0
32,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Pauline,OURY,BEL,5.0,33,2T4z410,,,boulder,2,4,4,0,0,0,0,0,0,0,0,0
33,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Katherine,MACDOUGALL,GBR,19.0,34,2T4z76,,,boulder,2,4,7,6,0,0,0,0,0,0,0,0
34,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Malin,LOCHER,SUI,47.0,35,2T4z814,,,boulder,2,4,8,4,0,0,0,0,0,0,0,0
35,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Gaia Rebecca,TOFT LAURITZEN,DEN,13.0,36,2T3z25,,,boulder,2,3,2,5,0,0,0,0,0,0,0,0
36,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Nora,BOGNAR,SRB,43.0,37,2T3z58,,,boulder,2,3,5,8,0,0,0,0,0,0,0,0
37,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Emma Stöver,WOLLEBAEK,NOR,33.0,38,2T3z65,,,boulder,2,3,6,5,0,0,0,0,0,0,0,0
38,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Adelaide,D'ADDARIO,ITA,29.0,39,2T2z22,,,boulder,2,2,2,2,0,0,0,0,0,0,0,0
39,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Federica,MABBONI,ITA,28.0,40,1T4z56,,,boulder,1,4,5,6,0,0,0,0,0,0,0,0
40,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Adela,BAJEROVA,CZE,12.0,41,1T3z25,,,boulder,1,3,2,5,0,0,0,0,0,0,0,0
41,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Anastasiia,TARNOVETSKA,UKR,50.0,42,1T2z12,,,boulder,1,2,1,2,0,0,0,0,0,0,0,0
42,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Popova,JŪLIJA,LAT,31.0,43,1T2z23,,,boulder,1,2,2,3,0,0,0,0,0,0,0,0
43,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Jessica,MC GARRY,IRL,24.0,44,1T2z32,,,boulder,1,2,3,2,0,0,0,0,0,0,0,0
44,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Robin,CASEY,IRL,23.0,45,1T2z43,,,boulder,1,2,4,3,0,0,0,0,0,0,0,0
45,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Yula,GOLD,ISR,26.0,46,0T4z010,,,boulder,0,4,0,0,0,0,0,0,0,0,0,0
46,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Marta,KLIMASZEWSKA,POL,35.0,47,0T3z04,,,boulder,0,3,0,4,0,0,0,0,0,0,0,0
47,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Anna,DE SOUZA,IRL,22.0,48,0T3z06,,,boulder,0,3,0,6,0,0,0,0,0,0,0,0
48,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Emilie,PUPKO,ISR,25.0,49,0T2z03,,,boulder,0,2,0,3,0,0,0,0,0,0,0,0
49,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Mariana,CARVALHO,POR,36.0,50,0T1z02,,,boulder,0,1,0,2,0,0,0,0,0,0,0,0
50,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Oriane,BERTONE,FRA,71.0,1,8T8z98,4T4z44,4T4z86,boulder,8,8,9,8,4,4,4,4,4,4,8,6
51,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Zélia,AVEZOU,FRA,72.0,2,8T8z1510,3T4z910,3T4z56,boulder,8,8,1,10,3,4,9,0,3,4,5,6
52,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Markéta,JANOŠOVÁ,CZE,62.0,3,5T6z97,3T4z1314,2T4z413,boulder,5,6,9,7,3,4,1,14,2,4,4,3
53,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Lea,KEMPF,AUT,55.0,4,6T6z137,3T4z96,2T3z88,boulder,6,6,1,7,3,4,9,6,2,3,8,8
54,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Sara,COPAR,SLO,102.0,5,7T8z99,4T4z64,1T3z18,boulder,7,8,9,9,4,4,6,4,1,3,1,8
55,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Louise,FLOCKHART,GBR,76.0,6,6T7z108,3T4z85,0T3z05,boulder,6,7,1,8,3,4,8,5,0,3,0,5
